patient_id,stromal,neoplastic,inflammatory,benign epithelial,necrotic,no label
TCGA-YL-A8HM-01Z-00-DX1,103305,93861,76165,5438,2542,1508
TCGA-EJ-7330-01Z-00-DX1,107942,43520,25076,18519,2215,2216
TCGA-WW-A8ZI-01Z-00-DX7,102675,96045,16764,4229,1716,1543
TCGA-4L-AA1F-01Z-00-DX1,145515,45445,62659,3553,3091,1646
TCGA-HI-7170-01Z-00-DX1,127938,92197,52772,2579,9814,1313
TCGA-V1-A9OX-01Z-00-DX1,127977,27224,19526,13058,543,464
TCGA-XK-AAIW-01Z-00-DX1,82649,381808,25889,3713,5893,5388
TCGA-CH-5738-01Z-00-DX1,122478,80037,31380,9345,2686,3981
TCGA-YL-A8SF-01Z-00-DX1,375064,235614,111727,39143,14211,2913
TCGA-HC-7080-01Z-00-DX1,9991,34324,929,472,2312,439
TCGA-KK-A8IM-01Z-00-DX1,254117,251307,56833,15564,3125,4203
TCGA-KK-A7B3-01Z-00-DX1,218809,293995,29147,7553,2866,2976
TCGA-SU-A7E7-01Z-00-DX1,95322,87603,33672,13242,18037,10995
TCGA-2A-A8VL-01Z-00-DX1,473962,415201,86404,91469,4706,7324
TCGA-KK-A6E4-01Z-00-DX1,149721,220045,14782,2803,2179,1502
TCGA-V1-A8MU-01Z-00-DX1,58054,16646,9875,10783,808,751
TCGA-YL-A8SK-01Z-00-DX2,693053,460667,113347,52175,4151,10533
TCGA-X4-A8KQ-01Z-00-DX6,536535,588724,88068,24830,5159,8137
TCGA-CH-5741-01Z-00-DX1,43159,37855,16890,3638,2551,3557
TCGA-CH-5739-01Z-00-DX1,76446,25649,5435,2863,1156,3091
TCGA-HC-7747-01Z-00-DX1,72121,155910,20089,27341,4611,2573
TCGA-XJ-A83F-01Z-00-DX1,211467,106274,62632,55915,10716,2552
TCGA-EJ-7797-01Z-00-DX1,146928,211427,33040,14924,8059,1480
TCGA-KK-A8IF-01Z-00-DX1,146073,181470,22481,10164,1536,2509
TCGA-KK-A59Z-01Z-00-DX1,113270,75029,23934,20506,1790,918
TCGA-J4-A67Q-01Z-00-DX1,421176,293491,58753,98059,2754,9013
TCGA-VP-A87H-01Z-00-DX1,241929,239833,29199,6469,5147,4395
TCGA-KK-A6E1-01Z-00-DX1,474405,318390,102449,23739,5692,3610
TCGA-XJ-A9DI-01Z-00-DX1,138769,29193,42688,15060,5760,2969
TCGA-J4-AAU2-01Z-00-DX1,126969,111252,8837,956,3211,1915
TCGA-FC-A5OB-01Z-00-DX1,11274,12763,649,977,161,236
TCGA-HC-A6AQ-01Z-00-DX1,24484,75904,5034,3940,1981,1137
TCGA-G9-7509-01Z-00-DX1,13735,809,4301,758,437,46
TCGA-KK-A8I7-01Z-00-DX1,524585,311284,129233,51204,3756,5959
TCGA-VP-A87D-01Z-00-DX1,269255,351337,38098,27349,7820,6122
TCGA-J4-A67R-01Z-00-DX1,720477,859371,230819,71034,29128,16428
TCGA-KK-A7B2-01Z-00-DX1,168382,263656,25007,5373,2207,2486
TCGA-J4-AATZ-01Z-00-DX1,107113,138489,25513,18942,2812,2060
TCGA-Y6-A9XI-01Z-00-DX2,167209,312326,13268,5294,1559,7614
TCGA-V1-A9OA-01Z-00-DX1,136781,101178,13598,3400,2132,2168
TCGA-TP-A8TV-01Z-00-DX1,25035,53944,5094,2140,501,817
TCGA-CH-5761-01Z-00-DX1,75679,57385,23594,7368,3557,3174
TCGA-2A-AAYF-01Z-00-DX1,546379,365134,73215,47583,4225,4636
TCGA-YL-A8S8-01Z-00-DX1,258357,643042,70554,28597,6747,2815
TCGA-KK-A8IC-01Z-00-DX1,408886,292972,99724,46176,3472,6016
TCGA-YL-A8SH-01Z-00-DX1,318655,198906,27889,13372,5161,4889
TCGA-J4-A6G3-01Z-00-DX1,455385,548180,161681,31033,14659,9183
TCGA-VP-AA1N-01Z-00-DX1,186306,94354,49616,38180,4489,2426
TCGA-YL-A8SJ-01Z-00-DX1,447703,391214,130102,37620,7880,6278
TCGA-QU-A6IP-01Z-00-DX1,224788,193808,33991,16284,4158,1933
TCGA-HI-7171-01Z-00-DX1,244013,85738,201578,13051,12754,5140
TCGA-EJ-5506-01Z-00-DX1,281337,461866,62752,58990,10046,4357
TCGA-HC-A4ZV-01Z-00-DX1,33382,23919,13340,6332,2395,1058
TCGA-HC-7736-01Z-00-DX1,113158,177274,6068,7549,4169,2710
TCGA-EJ-5521-01Z-00-DX1,278992,192186,26703,25972,4404,1806
TCGA-J4-A83N-01Z-00-DX1,321675,277576,82119,25748,7281,3501
TCGA-HC-7075-01Z-00-DX1,24333,88248,1524,7093,1718,1830
TCGA-J4-A67M-01Z-00-DX1,278092,306188,44991,40208,4898,7203
TCGA-HC-7077-01Z-00-DX1,25695,72224,3772,4673,1438,1516
TCGA-G9-A9S4-01Z-00-DX1,246136,214890,141094,40234,6031,3007
TCGA-CH-5748-01Z-00-DX1,177220,173050,52019,12113,7414,9232
TCGA-KK-A8IG-01Z-00-DX1,35089,18857,6252,1985,594,312
TCGA-EJ-5530-01Z-00-DX1,346157,298925,45596,28411,4264,19612
TCGA-KK-A8IL-01Z-00-DX1,107195,92997,14268,5478,1838,862
TCGA-YL-A8SH-01Z-00-DX3,464073,372399,62776,72854,3831,8967
TCGA-V1-A8WL-01Z-00-DX1,183548,101182,15045,3179,1280,1345
TCGA-YL-A8SJ-01Z-00-DX2,423822,330982,85299,22777,6803,5420
TCGA-XJ-A9DX-01Z-00-DX1,220108,198766,96967,12848,16737,3090
TCGA-HC-A6AO-01Z-00-DX1,24574,49422,4961,2507,1747,765
TCGA-HC-7748-01Z-00-DX1,93740,243203,18951,12487,6554,2819
TCGA-VP-A872-01Z-00-DX1,314156,218245,33449,43217,6164,5963
