,train,val,test
0,pca_57574,pca_56412,pca_59002
1,pca_34185,pca_33810,pca_58301
2,pca_21769,pca_58252,pca_53556
3,pca_58438,pca_2484,pca_22925
4,pca_58950,pca_57543,pca_53314
5,pca_59060,pca_57862,pca_54077
6,pca_54868,pca_56461,pca_53549
7,pca_58306,pca_57868,pca_56386
8,pca_21572,pca_54916,pca_57518
9,pca_54853,pca_19244,pca_55816
10,pca_57166,pca_57176,pca_56410
11,pca_56459,pca_58393,pca_57513
12,pca_21532,pca_59026,pca_55845
13,pca_58363,pca_56417,pca_26077
14,pca_55814,pca_55838,pca_58341
15,pca_58828,pca_33888,pca_58347
16,pca_58826,pca_56398,pca_57178
17,pca_22039,pca_56428,pca_55849
18,pca_21674,pca_55862,pca_53321
19,pca_54906,pca_22534,pca_57522
20,pca_35172,pca_58199,pca_57164
21,pca_33220,pca_50963,pca_54860
22,pca_58339,pca_54851,pca_53458
23,pca_57529,pca_55822,pca_58397
24,pca_19300,pca_58991,pca_51455
25,pca_55833,pca_59030,pca_55810
26,pca_57880,pca_56451,pca_58328
27,pca_55864,pca_58401,pca_56434
28,pca_55855,pca_59010,pca_26840
29,pca_22892,pca_56384,pca_55826
30,pca_58304,pca_58954,pca_58419
31,pca_57180,pca_54855,pca_57524
32,pca_54089,pca_55841,pca_2170
33,pca_54867,pca_15987,pca_33520
34,pca_58952,,
35,pca_33576,,
36,pca_35919,,
37,pca_55839,,
38,pca_2174,,
39,pca_55802,,
40,pca_56382,,
41,pca_59018,,
42,pca_53782,,
43,pca_53331,,
44,pca_58203,,
45,pca_55853,,
46,pca_33708,,
47,pca_54001,,
48,pca_32005,,
49,pca_57528,,
50,pca_57876,,
51,pca_55824,,
52,pca_2241,,
53,pca_58335,,
54,pca_58345,,
55,pca_55857,,
56,pca_24824,,
57,pca_57678,,
58,pca_26152,,
59,pca_26268,,
60,pca_54841,,
61,pca_55836,,
62,pca_57170,,
63,pca_57172,,
64,pca_58948,,
65,pca_54839,,
66,pca_153,,
67,pca_57801,,
68,pca_57160,,
69,pca_57864,,
70,pca_58956,,
71,pca_58160,,
72,pca_32022,,
73,pca_57570,,
74,pca_55866,,
75,pca_26640,,
76,pca_57533,,
77,pca_58399,,
78,pca_58261,,
79,pca_56436,,
80,pca_58343,,
81,pca_42717,,
82,pca_57858,,
83,pca_3661,,
84,pca_57870,,
85,pca_54910,,
86,pca_35230,,
87,pca_55843,,
88,pca_30460,,
89,pca_55831,,
90,pca_55851,,
91,pca_24420,,
92,pca_57670,,
93,pca_26148,,
94,pca_55820,,
95,pca_56406,,
96,pca_53448,,
97,pca_55868,,
98,pca_32884,,
99,pca_56440,,
100,pca_58838,,
101,pca_26197,,
102,pca_56432,,
103,pca_33204,,
104,pca_57168,,
105,pca_55807,,
106,pca_34164,,
107,pca_58276,,
108,pca_30466,,
109,pca_51654,,
110,pca_59062,,
111,pca_59034,,
112,pca_58281,,
113,pca_22705,,
114,pca_33026,,
115,pca_25866,,
116,pca_2493,,
117,pca_57547,,
118,pca_56320,,
119,pca_58797,,
120,pca_57557,,
121,pca_56430,,
122,pca_55847,,
123,pca_2229,,
124,pca_3838,,
125,pca_57789,,
126,pca_54050,,
127,pca_41268,,
128,pca_22888,,
129,pca_56390,,
130,pca_54848,,
131,pca_54870,,
132,pca_56421,,
133,pca_26466,,
134,pca_57216,,
135,pca_51657,,
136,pca_54845,,
137,pca_58264,,
138,pca_56452,,
139,pca_55860,,
140,pca_58330,,
141,pca_58421,,
142,pca_55828,,
143,pca_57866,,
144,pca_57515,,
145,pca_57565,,
146,pca_58291,,
147,pca_57545,,
148,pca_59004,,
149,pca_58427,,
150,pca_33762,,
151,pca_58227,,
152,pca_3287,,
153,pca_30440,,
154,pca_55858,,
155,pca_58423,,
156,pca_695,,
157,pca_339,,
158,pca_54909,,
159,pca_58313,,
160,pca_57572,,
161,pca_53329,,
162,pca_57174,,
163,pca_56447,,
