,train,val,test
pca_55820,True,False,False
pca_55849,True,False,False
pca_58347,True,False,False
pca_58826,True,False,False
pca_54853,True,False,False
pca_55814,True,False,False
pca_57180,True,False,False
pca_56436,True,False,False
pca_26640,True,False,False
pca_54077,True,False,False
pca_57574,True,False,False
pca_54916,True,False,False
pca_57518,True,False,False
pca_54001,True,False,False
pca_55853,True,False,False
pca_57862,True,False,False
pca_53556,True,False,False
pca_55802,True,False,False
pca_58304,True,False,False
pca_58306,True,False,False
pca_2241,True,False,False
pca_58363,True,False,False
pca_53314,True,False,False
pca_33576,True,False,False
pca_33810,True,False,False
pca_58341,True,False,False
pca_54839,True,False,False
pca_54910,True,False,False
pca_59018,True,False,False
pca_55839,True,False,False
pca_55862,True,False,False
pca_42717,True,False,False
pca_58252,True,False,False
pca_53331,True,False,False
pca_21769,True,False,False
pca_26148,True,False,False
pca_57801,True,False,False
pca_55833,True,False,False
pca_55816,True,False,False
pca_35172,True,False,False
pca_3661,True,False,False
pca_56459,True,False,False
pca_22925,True,False,False
pca_58956,True,False,False
pca_57178,True,False,False
pca_56428,True,False,False
pca_53782,True,False,False
pca_22534,True,False,False
pca_57170,True,False,False
pca_55851,True,False,False
pca_55824,True,False,False
pca_53549,True,False,False
pca_55866,True,False,False
pca_57166,True,False,False
pca_58952,True,False,False
pca_57570,True,False,False
pca_58203,True,False,False
pca_2484,True,False,False
pca_57528,True,False,False
pca_26268,True,False,False
pca_57529,True,False,False
pca_153,True,False,False
pca_58393,True,False,False
pca_57876,True,False,False
pca_58438,True,False,False
pca_57522,True,False,False
pca_35230,True,False,False
pca_55838,True,False,False
pca_55857,True,False,False
pca_21532,True,False,False
pca_57513,True,False,False
pca_56461,True,False,False
pca_56398,True,False,False
pca_57533,True,False,False
pca_58160,True,False,False
pca_57670,True,False,False
pca_54845,True,False,False
pca_56390,True,False,False
pca_26197,True,False,False
pca_58838,True,False,False
pca_32884,True,False,False
pca_56320,True,False,False
pca_58954,True,False,False
pca_57572,True,False,False
pca_58427,True,False,False
pca_57174,True,False,False
pca_54851,True,False,False
pca_56384,True,False,False
pca_339,True,False,False
pca_54909,True,False,False
pca_56452,True,False,False
pca_55807,True,False,False
pca_26466,True,False,False
pca_22705,True,False,False
pca_55860,True,False,False
pca_58276,True,False,False
pca_58419,True,False,False
pca_58397,True,False,False
pca_30466,True,False,False
pca_3838,True,False,False
pca_54870,True,False,False
pca_58313,True,False,False
pca_59010,True,False,False
pca_2493,True,False,False
pca_55810,True,False,False
pca_53329,True,False,False
pca_15987,True,False,False
pca_56432,True,False,False
pca_2170,True,False,False
pca_55822,True,False,False
pca_57524,True,False,False
pca_55858,True,False,False
pca_55868,True,False,False
pca_55841,True,False,False
pca_57515,True,False,False
pca_58401,True,False,False
pca_53448,True,False,False
pca_51654,True,False,False
pca_58423,True,False,False
pca_55826,True,False,False
pca_57216,True,False,False
pca_59004,True,False,False
pca_54848,True,False,False
pca_54855,True,False,False
pca_56440,True,False,False
pca_51455,True,False,False
pca_57164,True,False,False
pca_58797,True,False,False
pca_58281,True,False,False
pca_55847,True,False,False
pca_59026,False,True,False
pca_58335,False,True,False
pca_58301,False,True,False
pca_57176,False,True,False
pca_57880,False,True,False
pca_19300,False,True,False
pca_21674,False,True,False
pca_32005,False,True,False
pca_59002,False,True,False
pca_57864,False,True,False
pca_26077,False,True,False
pca_56412,False,True,False
pca_57858,False,True,False
pca_58950,False,True,False
pca_33026,False,True,False
pca_59034,False,True,False
pca_33762,False,True,False
pca_56447,False,True,False
pca_58991,False,True,False
pca_2229,False,True,False
pca_58330,False,True,False
pca_56430,False,True,False
pca_33520,False,True,False
pca_58199,False,True,False
pca_57868,False,False,True
pca_19244,False,False,True
pca_22039,False,False,True
pca_56410,False,False,True
pca_56382,False,False,True
pca_55836,False,False,True
pca_54841,False,False,True
pca_53321,False,False,True
pca_55843,False,False,True
pca_57870,False,False,True
pca_26152,False,False,True
pca_55855,False,False,True
pca_21572,False,False,True
pca_2174,False,False,True
pca_51657,False,False,True
pca_57557,False,False,True
pca_41268,False,False,True
pca_26840,False,False,True
pca_57565,False,False,True
pca_56421,False,False,True
pca_58421,False,False,True
pca_50963,False,False,True
pca_56451,False,False,True
pca_25866,False,False,True
