,train,val,test
0,pca_54845,pca_57160,pca_33026
1,pca_26197,pca_2484,pca_32884
2,pca_58347,pca_30460,pca_33888
3,pca_54853,pca_22705,pca_57176
4,pca_57180,pca_53549,pca_51657
5,pca_58838,pca_22039,pca_57868
6,pca_57574,pca_33762,pca_54867
7,pca_56320,pca_54910,pca_57789
8,pca_58954,pca_58227,pca_55868
9,pca_57870,pca_22925,pca_58797
10,pca_53556,pca_56447,pca_3838
11,pca_57174,pca_58335,pca_55849
12,pca_58363,pca_55816,pca_56417
13,pca_56384,pca_58304,pca_56406
14,pca_54839,pca_55820,pca_59026
15,pca_56452,pca_54860,pca_58423
16,pca_50963,pca_19300,pca_57528
17,pca_2174,pca_55826,pca_58345
18,pca_58252,pca_57801,pca_54848
19,pca_55860,pca_56459,pca_54089
20,pca_21769,pca_30466,pca_57678
21,pca_58419,pca_53458,pca_57168
22,pca_26148,pca_55838,pca_24420
23,pca_54870,pca_57513,pca_57876
24,pca_58313,,
25,pca_59010,,
26,pca_3661,,
27,pca_56432,,
28,pca_41268,,
29,pca_58991,,
30,pca_57570,,
31,pca_55858,,
32,pca_57515,,
33,pca_58401,,
34,pca_57529,,
35,pca_21674,,
36,pca_153,,
37,pca_58393,,
38,pca_53448,,
39,pca_51654,,
40,pca_55857,,
41,pca_57216,,
42,pca_58160,,
43,pca_59004,,
44,pca_26840,,
45,pca_58339,,
46,pca_51455,,
47,pca_57164,,
48,pca_56390,,
49,pca_58826,,
50,pca_55814,,
51,pca_56436,,
52,pca_26640,,
53,pca_54077,,
54,pca_54916,,
55,pca_57518,,
56,pca_54001,,
57,pca_55853,,
58,pca_57862,,
59,pca_55802,,
60,pca_57572,,
61,pca_58427,,
62,pca_58306,,
63,pca_2241,,
64,pca_53314,,
65,pca_33576,,
66,pca_33810,,
67,pca_54851,,
68,pca_58950,,
69,pca_19244,,
70,pca_58341,,
71,pca_339,,
72,pca_54909,,
73,pca_59018,,
74,pca_59034,,
75,pca_25866,,
76,pca_55839,,
77,pca_55807,,
78,pca_26466,,
79,pca_55862,,
80,pca_42717,,
81,pca_58276,,
82,pca_53331,,
83,pca_58397,,
84,pca_56430,,
85,pca_55833,,
86,pca_2493,,
87,pca_55810,,
88,pca_35172,,
89,pca_57864,,
90,pca_53329,,
91,pca_55836,,
92,pca_15987,,
93,pca_58956,,
94,pca_57178,,
95,pca_56428,,
96,pca_2170,,
97,pca_53782,,
98,pca_22534,,
99,pca_57170,,
100,pca_55851,,
101,pca_55824,,
102,pca_55866,,
103,pca_55822,,
104,pca_57166,,
105,pca_58952,,
106,pca_57524,,
107,pca_58203,,
108,pca_55841,,
109,pca_26268,,
110,pca_56382,,
111,pca_58301,,
112,pca_57880,,
113,pca_58199,,
114,pca_58438,,
115,pca_57522,,
116,pca_35230,,
117,pca_55855,,
118,pca_26152,,
119,pca_21532,,
120,pca_56461,,
121,pca_56398,,
122,pca_56412,,
123,pca_57533,,
124,pca_57858,,
125,pca_58330,,
126,pca_57670,,
127,pca_54855,,
128,pca_53321,,
129,pca_56410,,
