,train,val,test
TCGA-KK-A59Y-01Z-00-DX1.0DB9AF4D-4879-4295-A321-CBEE0FE6B2A0,True,False,False
TCGA-G9-7522-01Z-00-DX1.103e1fde-1559-4095-95b9-020a2459193b,True,False,False
TCGA-HC-7213-01Z-00-DX1.5b03a3f2-ae77-4906-81b6-e9a5c0c5ed16,True,False,False
TCGA-EJ-7314-01Z-00-DX1.d0eb7da6-3259-475f-b81c-146dca9b5613,True,False,False
TCGA-HC-7231-01Z-00-DX1.0850ecf9-5d71-48b3-b147-716bd792e862,True,False,False
TCGA-KK-A7B3-01Z-00-DX1.2525F4D7-C3A5-4469-9D5E-F33532A3BA21,True,False,False
TCGA-EJ-7315-01Z-00-DX1.6e08c383-ca90-45ad-8a26-de89823c333f,True,False,False
TCGA-EJ-5507-01Z-00-DX1.6f3f7e05-a6f7-4450-a4bb-a4ee76859d17,True,False,False
TCGA-KK-A7B4-01Z-00-DX1.DAC07B4A-C8C5-4DFE-963A-502FB264E205,True,False,False
TCGA-YL-A8SL-01Z-00-DX4.EBF80535-B360-4F82-BBC2-C9092D1E23FC,True,False,False
TCGA-YL-A8SL-01Z-00-DX1.6758D124-1154-4D76-8569-72A1C148F64C,True,False,False
TCGA-YL-A8SL-01Z-00-DX3.D85D40A5-172E-4A33-97BE-54EF0FC01A75,True,False,False
TCGA-YL-A8SL-01Z-00-DX2.F64D1539-E590-4B51-96B4-1F95CAE6E33A,True,False,False
TCGA-HC-7748-01Z-00-DX1.6a3e2e09-65ba-48e1-b400-dfcf0bd61dc2,True,False,False
TCGA-HC-A631-01Z-00-DX1.9771F112-D955-4F5A-819A-3AE84DF712C2,True,False,False
TCGA-EJ-5499-01Z-00-DX1.bda3d0ed-5295-40c2-b23f-d60caaa03643,True,False,False
TCGA-EJ-5514-01Z-00-DX1.82b0677b-fb3c-45ec-82ca-d90000d8aaf2,True,False,False
TCGA-HC-7742-01Z-00-DX1.59cf7b97-16a4-4c83-b4e0-6ee292326500,True,False,False
TCGA-EJ-5542-01Z-00-DX1.84ef2f6d-29d7-4d36-96b4-14bd30742016,True,False,False
TCGA-KK-A8IC-01Z-00-DX1.4C740858-8802-4724-8B9A-78B246EC0B71,True,False,False
TCGA-KK-A6E0-01Z-00-DX1.F69CA949-C533-4D94-AB14-C70E2EA3B58B,True,False,False
TCGA-YL-A8HL-01Z-00-DX1.B3D15BCD-20BE-4ACF-8837-B766FD9893CC,True,False,False
TCGA-EJ-5521-01Z-00-DX1.f23207f7-5e45-499f-a4b0-0203b60b3569,True,False,False
TCGA-YL-A8SA-01Z-00-DX1.B246D547-9875-42DB-8BD9-206C449EF089,True,False,False
TCGA-CH-5769-01Z-00-DX1.cd4fbd94-7698-43e6-92e7-d6f52888de6a,True,False,False
TCGA-G9-6356-01Z-00-DX1.e9631d5e-7454-4dab-b3f8-f157f0ed3715,True,False,False
TCGA-VP-A872-01Z-00-DX1.F62D214B-BAC8-4A6B-81C1-427E8AA8F382,True,False,False
TCGA-XQ-A8TB-01Z-00-DX1.79B47326-1EA9-4892-B5D0-3ACE78FB6E1B,True,False,False
TCGA-VP-A87J-01Z-00-DX1.31A1E162-71C5-4F15-B9C5-AFAB41506F86,True,False,False
TCGA-KK-A8I6-01Z-00-DX1.C81CEF74-FDE6-4D01-BA09-AEF6F9C6A3D7,True,False,False
TCGA-YL-A8HK-01Z-00-DX1.9A095D1F-A8CA-4BE4-9B42-83BC45FE54D7,True,False,False
TCGA-KK-A7AU-01Z-00-DX1.5DA62B04-B06C-4EBB-9512-F96D3A83D549,True,False,False
TCGA-KK-A6DY-01Z-00-DX1.A58E02B6-F093-43EE-B06C-975C4171E8A1,True,False,False
TCGA-G9-6361-01Z-00-DX1.41814e1f-71af-4e91-b5ba-6703c112bbe8,True,False,False
TCGA-YL-A8SJ-01Z-00-DX2.36E46E11-79CA-4356-B68F-F387219B3D16,True,False,False
TCGA-YL-A8SJ-01Z-00-DX4.331994CE-8283-4A45-8670-0015B123A336,True,False,False
TCGA-YL-A8SJ-01Z-00-DX1.FE930A8E-20F9-4D8D-9D98-03D2BB58927A,True,False,False
TCGA-HC-8256-01Z-00-DX1.24CBDB5B-F10C-4C5D-9AC3-6AB19A374C43,True,False,False
TCGA-VP-A876-01Z-00-DX1.C7015749-A4D2-4FE2-8681-DBB839D0EC3B,True,False,False
TCGA-EJ-7783-01Z-00-DX1.83158713-8e94-40b8-96e1-ae9e105e3804,True,False,False
TCGA-EJ-7791-01Z-00-DX1.32e325ff-30d5-4f07-a7b6-914a412cecf7,True,False,False
TCGA-EJ-7785-01Z-00-DX1.11677112-6f8a-4c93-9c04-bd08288658e2,True,False,False
TCGA-KK-A7AP-01Z-00-DX1.0776D25A-0E19-4268-8165-791CB95AD714,True,False,False
TCGA-HC-8260-01Z-00-DX1.b12ffab8-be66-4fb2-98f9-2d78e7b4a09e,True,False,False
TCGA-G9-6353-01Z-00-DX1.4eb1f19f-67b8-47dc-a4da-b781441e9281,True,False,False
TCGA-YL-A8S8-01Z-00-DX1.54845009-AA3A-4507-9FB6-5C1D11174997,True,False,False
TCGA-V1-A8ML-01Z-00-DX1.BEE27AFB-3331-464F-BB9D-69C1AE1865CA,True,False,False
TCGA-CH-5750-01Z-00-DX1.88db9d82-82c0-44b7-87b2-6e3bcdfb58ad,True,False,False
TCGA-WW-A8ZI-01Z-00-DX2.BE12DAC0-F2DD-486B-AD8F-EA3C68144895,True,False,False
TCGA-WW-A8ZI-01Z-00-DX6.3645EDB2-41D8-4B5F-9A4E-A11C1D354435,True,False,False
TCGA-WW-A8ZI-01Z-00-DX7.9194D7B4-3062-45D7-BC0C-3CA0FEA0A5A7,True,False,False
TCGA-WW-A8ZI-01Z-00-DX4.19925B69-872C-4A20-AA9F-7D8A31DF02F9,True,False,False
TCGA-WW-A8ZI-01Z-00-DX3.4F78311D-BB61-44B2-B5EB-34CFF26211E1,True,False,False
TCGA-WW-A8ZI-01Z-00-DX5.7A4D2C8E-F68E-4C22-8808-FBB9A634DB93,True,False,False
TCGA-HI-7171-01Z-00-DX1.cf7787d4-b3bd-4a3d-b036-f3ed9adc3606,True,False,False
TCGA-J4-8200-01Z-00-DX1.98361F8B-4808-44ED-900A-0871819785FF,True,False,False
TCGA-CH-5738-01Z-00-DX1.fcb841b3-9257-48a4-b175-26df4227b0ce,True,False,False
TCGA-YL-A8SP-01Z-00-DX1.4F1DBA34-DA6D-4DBA-B765-6720A6DDAA21,True,False,False
TCGA-EJ-7793-01Z-00-DX1.9b4a589b-59d9-4abf-bfe9-165125656032,True,False,False
TCGA-CH-5746-01Z-00-DX1.5d6bab11-b652-4730-80ee-7a0dc6bfc806,True,False,False
TCGA-G9-6371-01Z-00-DX1.0c8cc8d4-bb9e-4ade-aaa9-22c451fb363b,True,False,False
TCGA-YL-A8SK-01Z-00-DX3.6DB3959A-555D-433E-94D2-58E7C37CA01B,True,False,False
TCGA-YL-A8SK-01Z-00-DX4.E81BAE2E-4003-40C6-810D-5E3B600C4E05,True,False,False
TCGA-EJ-5517-01Z-00-DX1.7df66a54-404a-4b7d-a316-4ae6383c3afd,True,False,False
TCGA-2A-A8VO-01Z-00-DX1.3A69CC37-B066-4529-B1BE-AD155983AAA7,True,False,False
TCGA-HC-7818-01Z-00-DX1.06895343-4b63-40b2-afbb-b31b262a4165,True,False,False
TCGA-HC-A632-01Z-00-DX1.4F297280-B867-4109-822F-CD0DD4A699EE,True,False,False
TCGA-HC-A76X-01Z-00-DX1.DBB52520-F96D-45AD-9228-BA81B7553824,True,False,False
TCGA-G9-6378-01Z-00-DX1.c06b70ec-64ee-4db0-8682-72c1cc0e97bc,True,False,False
TCGA-V1-A8WL-01Z-00-DX1.D8496440-4A64-405B-ADC7-4F8E91BBB439,True,False,False
TCGA-EJ-5527-01Z-00-DX1.238fcb19-9655-463e-ab50-b48b71e6970e,True,False,False
TCGA-KK-A8I5-01Z-00-DX1.CA6219A0-650D-4281-B693-B96444A62C24,True,False,False
TCGA-EJ-A46I-01Z-00-DX1.AB750E29-1BB3-4FA2-88B8-C4CD71C0CD32,True,False,False
TCGA-M7-A720-01Z-00-DX1.5680EDA8-FA91-4077-AB68-3D81986D99E3,True,False,False
TCGA-EJ-5515-01Z-00-DX1.4cfd0e05-b10c-4193-a488-9277cd60f0ea,True,False,False
TCGA-HC-7230-01Z-00-DX1.da088457-3abd-4943-92e5-4b74d72010f1,True,False,False
TCGA-EJ-5508-01Z-00-DX1.b5429be9-eadf-4042-8aad-37dc1a10c229,True,False,False
TCGA-J4-A6G1-01Z-00-DX1.CB849D80-60EA-407B-87AB-B3161ABC0A6F,True,False,False
TCGA-YL-A9WI-01Z-00-DX4.DD0313AF-7339-45F1-B3CF-AE9C20679E7F,True,False,False
TCGA-YL-A9WI-01Z-00-DX3.51D0394E-FB44-4878-B761-9460D3833207,True,False,False
TCGA-KK-A59Z-01Z-00-DX1.83C16C66-CA61-4E86-8CFE-D2A24CEFE69C,True,False,False
TCGA-YL-A8SH-01Z-00-DX1.11EC242B-C4D2-46E3-9E8F-3BA5A508D046,True,False,False
TCGA-YL-A8SH-01Z-00-DX3.5E1F7D7F-1081-4EBF-A924-CDDDBF838CE5,True,False,False
TCGA-YL-A8SH-01Z-00-DX2.2B25B4BE-0236-44E4-A04E-498C45AEA23B,True,False,False
TCGA-EJ-7115-01Z-00-DX1.c603df66-3411-44b4-9e54-32bacd57b426,True,False,False
TCGA-EJ-5525-01Z-00-DX1.7baf2b11-607e-4001-b5ac-6e33616dc969,True,False,False
TCGA-KK-A7AV-01Z-00-DX1.3913353D-9E72-4A3F-A627-08279D906C69,True,False,False
TCGA-VP-A875-01Z-00-DX1.96476DFA-7CFE-4100-A791-E7415B1DC719,True,False,False
TCGA-KK-A8IJ-01Z-00-DX1.84EA7BE5-2707-4DDC-965F-1D65A0BCD280,True,False,False
TCGA-HC-8257-01Z-00-DX1.f11b1c83-b2d6-4e96-af6f-672bcf6719f4,True,False,False
TCGA-HC-7750-01Z-00-DX1.a1457c89-5f31-4863-99e4-5675dfb9fef1,True,False,False
TCGA-EJ-5526-01Z-00-DX1.70486c91-c1cd-4478-8c90-b103dacda0ae,True,False,False
TCGA-CH-5767-01Z-00-DX1.5a8d8c09-2837-4981-9c43-defa67d2a3fc,True,False,False
TCGA-EJ-7330-01Z-00-DX1.f30d5d3a-b67e-432c-90db-e17e739438ed,True,False,False
TCGA-HC-8216-01Z-00-DX1.3629EA7F-6A2F-45FE-9B51-C27847BA43F8,True,False,False
TCGA-HC-7736-01Z-00-DX1.8a162ae4-c046-43e9-b391-78efec7ab053,True,False,False
TCGA-EJ-7317-01Z-00-DX1.c92df0c7-a1be-40ed-b33f-e8213cf5b11b,True,False,False
TCGA-VP-A87D-01Z-00-DX1.AAABF812-D68A-48B5-89F3-3D7D109D4BE4,True,False,False
TCGA-VP-A87C-01Z-00-DX1.6DD1B93C-250B-4FD2-9630-F5C0A554FE98,True,False,False
TCGA-HC-7078-01Z-00-DX1.12d9739d-337d-4e6f-b971-033635dfd07a,True,False,False
TCGA-EJ-5497-01Z-00-DX1.59c034ce-0c62-4b41-bd14-5e50d1584ae0,True,False,False
TCGA-M7-A71Y-01Z-00-DX1.0B405CF4-492A-4778-ABBA-6C9F8A346E51,True,False,False
TCGA-KK-A59X-01Z-00-DX1.8F30C2E2-BBA2-4857-B020-E548C4D7C359,True,False,False
TCGA-EJ-5509-01Z-00-DX1.d5ddb1aa-3fd9-468b-abfa-97b908695a30,True,False,False
TCGA-EJ-7321-01Z-00-DX1.3c4d5cb6-647d-4f31-a462-423951dbec9a,True,False,False
TCGA-KK-A6E6-01Z-00-DX1.6A3018FB-D1B1-44E8-A846-29F6EE572747,True,False,False
TCGA-HI-7168-01Z-00-DX1.e4aabefc-b633-4f54-ae92-a839f2d80158,True,False,False
TCGA-H9-7775-01Z-00-DX1.ce2fb4f9-7a84-467c-8326-2c6605f3a1e9,True,False,False
TCGA-CH-5748-01Z-00-DX1.032202f2-70c0-4115-99ff-1cecf4042e07,True,False,False
TCGA-VP-A87E-01Z-00-DX1.E01A7C2F-087F-4AFB-9A8C-3092EC841423,True,False,False
TCGA-HC-7079-01Z-00-DX1.5fb22f2a-ee91-4a0d-a696-a72ebb3414b1,True,False,False
TCGA-J4-A83N-01Z-00-DX1.65D44347-8852-4394-A3B1-63C66D63C142,True,False,False
TCGA-Y6-A8TL-01Z-00-DX5.C3FD0E07-99D5-4786-9CFC-01B8FC5AC4E4,True,False,False
TCGA-Y6-A8TL-01Z-00-DX4.06A0D9F3-FCBC-42D1-8CF0-2FAAAADC0BAC,True,False,False
TCGA-Y6-A8TL-01Z-00-DX2.61B3C7FE-09DD-4FA7-8C73-BAE974F3DEF4,True,False,False
TCGA-Y6-A8TL-01Z-00-DX1.756427EA-E1A0-49CA-8F75-7E1D875F142F,True,False,False
TCGA-HC-A8D1-01Z-00-DX1.8217FC07-A7A1-4C84-B5CF-9468AD18F912,True,False,False
TCGA-CH-5743-01Z-00-DX1.d775c0bd-8c32-45b1-a6d2-afd4e17ec649,True,False,False
TCGA-QU-A6IP-01Z-00-DX1.F5BA8BA6-2D9B-4765-A3AC-DB9718FA1F5F,True,False,False
TCGA-YL-A8S9-01Z-00-DX1.AFA8D391-BD8D-4A68-B779-7C10C2977DAC,True,False,False
TCGA-G9-6499-01Z-00-DX1.4d60a36f-fccc-44b5-b8df-360fbc704c23,True,False,False
TCGA-KK-A7B1-01Z-00-DX1.18931C6F-1F93-49CF-BF9D-3C913B0609B7,True,False,False
TCGA-HC-8264-01Z-00-DX1.0992961B-454E-40C4-9571-5B2D9FE8B3DF,True,False,False
TCGA-YL-A8SR-01Z-00-DX1.0F54981A-9952-4CC8-BDC3-4EDA16739F22,True,False,False
TCGA-EJ-5506-01Z-00-DX1.9d0714eb-b01a-482e-b077-76f92b3a5e3f,True,False,False
TCGA-YL-A8HJ-01Z-00-DX1.7C6FAED0-CD7C-4EC5-BEB0-5FF40E1089C6,True,False,False
TCGA-HC-8262-01Z-00-DX1.bbe104bc-1d6f-4c3d-80dc-99aef05dc9c4,True,False,False
TCGA-YL-A8HM-01Z-00-DX1.FE98403B-ABE4-4E5E-B036-FD590741FB11,True,False,False
TCGA-EJ-7328-01Z-00-DX1.577d603f-8bab-4fa5-801b-d7e999edca25,True,False,False
TCGA-KK-A8IG-01Z-00-DX1.57499D3B-8589-4A1A-A295-A17B48704A54,True,False,False
TCGA-KK-A8I9-01Z-00-DX1.8DD81B98-3C5B-4F54-A1E9-0966E12205E3,True,False,False
TCGA-HC-7747-01Z-00-DX1.1fd2554f-29b9-4a9e-9fe1-93a1bc29f319,True,False,False
TCGA-KK-A8IK-01Z-00-DX1.FB5F2457-F503-4A0F-8911-C87F2251333C,True,False,False
TCGA-HC-7740-01Z-00-DX1.e0d2817f-fe41-4d04-a164-68f601a4e82e,True,False,False
TCGA-G9-7523-01Z-00-DX1.2551f5e7-9fac-422f-b83a-2ecfd0e4e244,True,False,False
TCGA-KK-A6E5-01Z-00-DX1.964904F1-91C5-4A3E-952D-EB8B78138389,True,False,False
TCGA-HC-7820-01Z-00-DX1.B2F770A7-BF49-4B7C-97AD-7078511DC8F9,True,False,False
TCGA-J4-A67T-01Z-00-DX1.CF24F5B1-8583-4DEB-BDE8-45786116488E,True,False,False
TCGA-CH-5739-01Z-00-DX1.11b90c0d-e024-4aa2-8140-30f0140a1701,True,False,False
TCGA-EJ-5518-01Z-00-DX1.e7860e09-7490-4cda-be17-4c5116d1698a,True,False,False
TCGA-VP-A87H-01Z-00-DX1.AE5FAB92-3282-404D-BD0C-699746F7915E,True,False,False
TCGA-G9-6329-01Z-00-DX1.644ad1cf-baca-4b4c-ba0b-c4ecdd42750c,True,False,False
TCGA-KK-A8IL-01Z-00-DX1.C91F74AC-39D4-44BB-A48B-F4AACA135007,True,False,False
TCGA-EJ-5494-01Z-00-DX1.f466c17c-4671-45e0-aca9-0ceeec2c0280,True,False,False
TCGA-CH-5752-01Z-00-DX1.3a204644-6fa2-4bbd-a2b0-d40f13385dcf,True,False,False
TCGA-FC-A4JI-01Z-00-DX1.05793978-083B-4332-91D3-8843E5115808,True,False,False
TCGA-KK-A8IB-01Z-00-DX1.84831EF3-B283-4152-9A81-426E3099882D,True,False,False
TCGA-CH-5764-01Z-00-DX1.153078f9-e6c0-48f4-af0a-5a6eb83082e7,True,False,False
TCGA-YL-A8SQ-01Z-00-DX1.0DFEF9A0-9C25-46F9-8EB4-96844346F236,True,False,False
TCGA-YL-A8HO-01Z-00-DX1.5ECDCA17-3ED8-49CD-89AC-A31C7F0E6FA9,True,False,False
TCGA-V1-A8MF-01Z-00-DX1.1216504B-8729-458D-A976-3C33DC34423E,True,False,False
TCGA-EJ-5532-01Z-00-DX1.07548d1f-867f-4bca-a9f3-aaed043b8753,True,False,False
TCGA-YL-A9WJ-01Z-00-DX1.ECE31D79-8A8E-45DB-8BC4-97B303D38B1B,True,False,False
TCGA-EJ-A46G-01Z-00-DX1.F6443830-54BB-44D8-91F2-D9EA52255650,True,False,False
